key,edge,lastFoundAt,type,market_name,participants,outcome_payout,source,participant,sport,implied_probability,profit_potential,EV,event_start_time,competition_instance_name
rrHr-ykdu-SD5w,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Mainz 05 @ FC St. Pauli,"['Mainz 05', 'FC St. Pauli']",3.6,BET_RIVERS,,,27.806615,260.0,0.10381400000001406,2024-10-05T16:30:00.000Z,2024-25 German Bundesliga
a0wQ-ykdu-2Wq7,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Holstein Kiel @ Bayer Leverkusen,"['Bayer Leverkusen', 'Holstein Kiel']",12.5,BET_RIVERS,,,8.229895,1150.0,2.873687500000017,2024-10-05T13:30:00.000Z,2024-25 German Bundesliga
0XiZ-ykdu-3G7b,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Holstein Kiel @ Bayer Leverkusen,"['Bayer Leverkusen', 'Holstein Kiel']",25.0,BET_PARX,Holstein Kiel,SOCCER,4.527734,2400.0,13.193349999999995,2024-10-05T13:30:00.000Z,2024-25 German Bundesliga
Czzq-ykdu-gitn,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Holstein Kiel @ Bayer Leverkusen,"['Bayer Leverkusen', 'Holstein Kiel']",26.0,BET_RIVERS,Holstein Kiel,SOCCER,4.527734,2500.0,17.72108399999999,2024-10-05T13:30:00.000Z,2024-25 German Bundesliga
5hV1-ykdu-ecS7,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Holstein Kiel @ Bayer Leverkusen,"['Bayer Leverkusen', 'Holstein Kiel']",23.0,BET_MGM,Holstein Kiel,SOCCER,4.527734,2200.0,4.1378819999999905,2024-10-05T13:30:00.000Z,2024-25 German Bundesliga
xn4X-ykdu-0KtT,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Hoffenheim @ VfB Stuttgart,"['Hoffenheim', 'VfB Stuttgart']",6.75,BET_RIVERS,,,15.117596,575.0,2.0437730000000016,2024-10-06T17:30:00.000Z,2024-25 German Bundesliga
JqEz-ykdu-wAZi,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Hoffenheim @ VfB Stuttgart,"['Hoffenheim', 'VfB Stuttgart']",8.5,BET_PARX,Hoffenheim,SOCCER,12.415266,750.0,5.529761000000008,2024-10-06T17:30:00.000Z,2024-25 German Bundesliga
USc9-ykdu-6hbL,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Hoffenheim @ VfB Stuttgart,"['Hoffenheim', 'VfB Stuttgart']",8.5,BET_RIVERS,Hoffenheim,SOCCER,12.415266,750.0,5.529761000000008,2024-10-06T17:30:00.000Z,2024-25 German Bundesliga
jSFX-ykdu-b7gr,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Middlesbrough @ Watford,"['Middlesbrough', 'Watford']",3.75,DRAFT_KINGS,Watford,SOCCER,27.107601,275.0,1.6535037499999987,2024-10-05T14:00:00.000Z,2024-25 English Football League Championship
2wCD-ykdu-x9I6,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Leeds United @ Sunderland,"['Leeds United', 'Sunderland']",3.3,BET_RIVERS,Sunderland,SOCCER,30.643895,229.99999999999997,1.1248534999999862,2024-10-04T19:00:00.000Z,2024-25 English Football League Championship
KmL4-ykdu-hwE8,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Preston North End @ Burnley,"['Burnley', 'Preston North End']",5.75,BET_RIVERS,Preston North End,SOCCER,17.467363,475.0,0.4373372499999988,2024-10-05T11:30:00.000Z,2024-25 English Football League Championship
zvYz-ykdu-ZkRf,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Cardiff City @ Bristol City,"['Cardiff City', 'Bristol City']",4.7,DRAFT_KINGS,Cardiff City,SOCCER,21.441461,370.0,0.7748666999999898,2024-10-06T14:00:00.000Z,2024-25 English Football League Championship
5EhD-ykdu-DJgx,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Millwall @ West Bromwich Albion,"['Millwall', 'West Bromwich Albion']",4.5,BET_RIVERS,Millwall,SOCCER,22.699557,350.0,2.148006499999994,2024-10-05T14:00:00.000Z,2024-25 English Football League Championship
mF0V-ykdu-IHzk,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Barcelona @ Alaves,"['Barcelona', 'Alaves']",5.75,BET_PARX,Alaves,SOCCER,17.525548,475.0,0.7719010000000139,2024-10-06T14:15:00.000Z,2024-25 Spanish La Liga
O0dv-ykdu-xiUo,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Barcelona @ Alaves,"['Barcelona', 'Alaves']",5.8,BET_RIVERS,Alaves,SOCCER,17.525548,480.0,1.6481784000000061,2024-10-06T14:15:00.000Z,2024-25 Spanish La Liga
83oI-ykdu-iBpZ,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Villarreal @ Real Madrid,"['Villarreal', 'Real Madrid']",11.0,BET_PARX,Villarreal,SOCCER,9.926735,1000.0,9.194085000000001,2024-10-05T19:00:00.000Z,2024-25 Spanish La Liga
